Timestamp,id,type,X,Y
6/6/2014 8:03,10371,check-in,63,99
6/6/2014 8:03,10371,movement,63,98
6/6/2014 8:03,10371,movement,64,97
6/6/2014 8:04,10371,movement,63,96
6/6/2014 8:04,10371,movement,64,95
6/6/2014 8:04,10371,movement,64,94
6/6/2014 8:04,10371,movement,64,93
6/6/2014 8:04,10371,movement,64,92
6/6/2014 8:04,10371,movement,63,91
6/6/2014 8:04,10371,movement,62,90
6/6/2014 8:04,10371,movement,61,89
6/6/2014 8:05,10371,movement,60,89
6/6/2014 8:05,10371,movement,59,88
6/6/2014 8:05,10371,movement,58,88
6/6/2014 8:05,10371,movement,57,87
6/6/2014 8:05,10371,movement,56,86
6/6/2014 8:05,10371,movement,55,86
6/6/2014 8:05,10371,movement,54,86
6/6/2014 8:06,10371,movement,53,85
6/6/2014 8:06,10371,movement,52,84
6/6/2014 8:06,10371,movement,51,84
6/6/2014 8:06,10371,movement,50,84
6/6/2014 8:06,10371,movement,49,83
6/6/2014 8:06,10371,movement,48,82
6/6/2014 8:06,10371,movement,47,81
6/6/2014 8:06,10371,movement,46,80
6/6/2014 8:07,10371,movement,45,79
6/6/2014 8:07,10371,movement,44,78
6/6/2014 8:07,10371,movement,43,77
6/6/2014 8:07,10371,movement,42,77
6/6/2014 8:07,10371,movement,41,76
6/6/2014 8:07,10371,movement,40,75
6/6/2014 8:07,10371,movement,39,75
6/6/2014 8:08,10371,movement,38,74
6/6/2014 8:08,10371,movement,37,73
6/6/2014 8:08,10371,movement,36,72
6/6/2014 8:08,10371,movement,35,71
6/6/2014 8:08,10371,movement,34,70
6/6/2014 8:08,10371,movement,34,69
6/6/2014 8:08,10371,movement,34,68
6/6/2014 8:08,10371,check-in,34,68
6/6/2014 8:03,11269,check-in,63,99
6/6/2014 8:04,11269,movement,63,98
6/6/2014 8:04,11269,movement,64,97
6/6/2014 8:05,11269,movement,64,96
6/6/2014 8:05,11269,movement,65,95
6/6/2014 8:05,11269,movement,65,94
6/6/2014 8:05,11269,movement,64,93
6/6/2014 8:05,11269,movement,64,92
6/6/2014 8:06,11269,movement,65,91
6/6/2014 8:06,11269,movement,66,90
6/6/2014 8:06,11269,movement,67,89
6/6/2014 8:06,11269,movement,68,88
6/6/2014 8:06,11269,movement,67,87
6/6/2014 8:07,11269,movement,68,86
6/6/2014 8:07,11269,movement,68,85
6/6/2014 8:07,11269,movement,69,84
6/6/2014 8:07,11269,movement,68,83
6/6/2014 8:07,11269,movement,68,82
